"";"values"
"415";2019-02-19
"416";2019-02-20
"417";2019-02-21
"418";2019-02-22
"419";2019-02-23
"420";2019-02-24
"421";2019-02-25
"422";2019-02-26
"423";2019-02-27
"424";2019-02-28
"425";2019-03-01
"426";2019-03-02
"427";2019-03-03
"428";2019-03-04
"429";2019-03-05
"430";2019-03-06
"431";2019-03-07
"432";2019-03-08
"433";2019-03-09
"434";2019-03-10
"435";2019-03-11
"436";2019-03-12
"437";2019-03-13
"438";2019-03-14
"439";2019-03-15
"440";2019-03-16
"441";2019-03-17
"442";2019-03-18
"443";2019-03-19
"444";2019-03-20
"445";2019-03-21
"446";2019-03-22
"447";2019-03-23
"448";2019-03-24
"449";2019-03-25
"450";2019-03-26
"451";2019-03-27
"452";2019-03-28
"453";2019-03-29
"454";2019-03-30
"455";2019-03-31
"456";2019-04-01
"457";2019-04-02
"458";2019-04-03
"459";2019-04-04
"460";2019-04-05
"461";2019-04-06
"462";2019-04-07
"463";2019-04-08
"464";2019-04-09
"465";2019-04-10
"466";2019-04-11
"467";2019-04-12
"468";2019-04-13
"469";2019-04-14
"470";2019-04-15
"471";2019-04-16
"472";2019-04-17
"473";2019-04-18
"474";2019-04-19
"475";2019-04-20
"476";2019-04-21
"477";2019-04-22
"478";2019-04-23
"479";2019-04-24
"480";2019-04-25
"481";2019-04-26
"482";2019-04-27
"483";2019-04-28
"484";2019-04-29
"485";2019-04-30
"486";2019-05-01
"487";2019-05-02
"488";2019-05-03
"489";2019-05-04
"490";2019-05-05
"491";2019-05-06
"492";2019-05-07
"493";2019-05-08
"494";2019-05-09
"495";2019-05-10
"496";2019-05-11
"497";2019-05-12
"498";2019-05-13
"499";2019-05-14
"500";2019-05-15
"501";2019-05-16
"502";2019-05-17
"503";2019-05-18
"504";2019-05-19
"505";2019-05-20
"506";2019-05-21
"507";2019-05-22
"508";2019-05-23
"509";2019-05-24
"510";2019-05-25
"511";2019-05-26
"512";2019-05-27
"513";2019-05-28
"514";2019-05-29
"515";2019-05-30
"516";2019-05-31
"517";2019-06-01
"518";2019-06-02
"519";2019-06-03
"520";2019-06-04
"521";2019-06-05
"522";2019-06-06
"523";2019-06-07
"524";2019-06-08
"525";2019-06-09
"526";2019-06-10
"527";2019-06-11
"528";2019-06-12
"529";2019-06-13
"530";2019-06-14
"531";2019-06-15
"532";2019-06-16
"533";2019-06-17
"534";2019-06-18
"535";2019-06-19
"536";2019-06-20
"537";2019-06-21
"538";2019-06-22
"539";2019-06-23
"540";2019-06-24
"541";2019-06-25
"542";2019-06-26
"543";2019-06-27
"544";2019-06-28
"545";2019-06-29
"546";2019-06-30
"547";2019-07-01
"548";2019-07-02
"549";2019-07-03
"550";2019-07-04
"551";2019-07-05
"552";2019-07-06
"553";2019-07-07
"554";2019-07-08
"555";2019-07-09
"556";2019-07-10
"557";2019-07-11
"558";2019-07-12
"559";2019-07-13
"560";2019-07-14
"561";2019-07-15
"562";2019-07-16
"563";2019-07-17
"564";2019-07-18
"565";2019-07-19
"566";2019-07-20
"567";2019-07-21
"568";2019-07-22
"569";2019-07-23
"570";2019-07-24
"571";2019-07-25
"572";2019-07-26
"573";2019-07-27
"574";2019-07-28
"575";2019-07-29
"576";2019-07-30
"577";2019-07-31
"578";2019-08-01
"579";2019-08-02
"580";2019-08-03
"581";2019-08-04
"582";2019-08-05
"583";2019-08-06
"584";2019-08-07
"585";2019-08-08
"586";2019-08-09
"587";2019-08-10
"588";2019-08-11
"589";2019-08-12
"590";2019-08-13
"591";2019-08-14
"592";2019-08-15
"593";2019-08-16
"594";2019-08-17
"595";2019-08-18
"596";2019-08-19
"597";2019-08-20
"598";2019-08-21
"599";2019-08-22
"600";2019-08-23
"601";2019-08-24
"602";2019-08-25
"603";2019-08-26
"604";2019-08-27
"605";2019-08-28
"606";2019-08-29
"607";2019-08-30
"608";2019-08-31
"609";2019-09-01
"610";2019-09-02
"611";2019-09-03
"612";2019-09-04
"613";2019-09-05
"614";2019-09-06
"615";2019-09-07
"616";2019-09-08
"617";2019-09-09
"618";2019-09-10
"619";2019-09-11
"620";2019-09-12
"621";2019-09-13
"622";2019-09-14
"623";2019-09-15
"624";2019-09-16
"625";2019-09-17
"626";2019-09-18
"627";2019-09-19
"628";2019-09-20
"629";2019-09-21
"630";2019-09-22
"631";2019-09-23
"632";2019-09-24
"633";2019-09-25
"634";2019-09-26
"635";2019-09-27
"636";2019-09-28
"637";2019-09-29
"638";2019-09-30
"639";2019-10-01
"640";2019-10-02
"641";2019-10-03
"642";2019-10-04
"643";2019-10-05
"644";2019-10-06
"645";2019-10-07
"646";2019-10-08
"647";2019-10-09
"648";2019-10-10
"649";2019-10-11
"650";2019-10-12
"651";2019-10-13
"652";2019-10-14
"653";2019-10-15
"654";2019-10-16
"655";2019-10-17
"656";2019-10-18
"657";2019-10-19
"658";2019-10-20
"659";2019-10-21
"660";2019-10-22
"661";2019-10-23
"662";2019-10-24
"663";2019-10-25
"664";2019-10-26
"665";2019-10-27
"666";2019-10-28
"667";2019-10-29
"668";2019-10-30
"669";2019-10-31
"670";2019-11-01
"671";2019-11-02
"672";2019-11-03
"673";2019-11-04
"674";2019-11-05
"675";2019-11-06
"676";2019-11-07
"677";2019-11-08
"678";2019-11-09
"679";2019-11-10
"680";2019-11-11
"681";2019-11-12
"682";2019-11-13
"683";2019-11-14
"684";2019-11-15
"685";2019-11-16
"686";2019-11-17
"687";2019-11-18
"688";2019-11-19
"689";2019-11-20
"690";2019-11-21
"691";2019-11-22
"692";2019-11-23
"693";2019-11-24
"694";2019-11-25
"695";2019-11-26
"696";2019-11-27
"697";2019-11-28
"698";2019-11-29
"699";2019-11-30
"700";2019-12-01
"701";2019-12-02
"702";2019-12-03
"703";2019-12-04
"704";2019-12-05
"705";2019-12-06
"706";2019-12-07
"707";2019-12-08
"708";2019-12-09
"709";2019-12-10
"710";2019-12-11
"711";2019-12-12
"712";2019-12-13
"713";2019-12-14
"714";2019-12-15
"715";2019-12-16
"716";2019-12-17
"717";2019-12-18
"718";2019-12-19
"719";2019-12-20
"720";2019-12-21
"721";2019-12-22
"722";2019-12-23
"723";2019-12-24
"724";2019-12-25
"725";2019-12-26
"726";2019-12-27
"727";2019-12-28
"728";2019-12-29
"729";2019-12-30
"730";2019-12-31
"731";2020-01-01
"732";2020-01-02
"733";2020-01-03
"734";2020-01-04
"735";2020-01-05
"736";2020-01-06
"737";2020-01-07
"738";2020-01-08
"739";2020-01-09
"740";2020-01-10
"741";2020-01-11
"742";2020-01-12
"743";2020-01-13
"744";2020-01-14
"745";2020-01-15
"746";2020-01-16
"747";2020-01-17
"748";2020-01-18
"749";2020-01-19
"750";2020-01-20
"751";2020-01-21
"752";2020-01-22
"753";2020-01-23
"754";2020-01-24
"755";2020-01-25
"756";2020-01-26
"757";2020-01-27
"758";2020-01-28
"759";2020-01-29
"760";2020-01-30
"761";2020-01-31
"762";2020-02-01
"763";2020-02-02
"764";2020-02-03
"765";2020-02-04
"766";2020-02-05
"767";2020-02-06
"768";2020-02-07
"769";2020-02-08
"770";2020-02-09
"771";2020-02-10
"772";2020-02-11
"773";2020-02-12
"774";2020-02-13
"775";2020-02-14
"776";2020-02-15
"777";2020-02-16
"778";2020-02-17
"779";2020-02-18
"780";2020-02-19
"781";2020-02-20
"782";2020-02-21
"783";2020-02-22
"784";2020-02-23
"785";2020-02-24
"786";2020-02-25
"787";2020-02-26
"788";2020-02-27
"789";2020-02-28
"790";2020-02-29
"791";2020-03-01
"792";2020-03-02
"793";2020-03-03
"794";2020-03-04
"795";2020-03-05
"796";2020-03-06
"797";2020-03-07
"798";2020-03-08
"799";2020-03-09
"800";2020-03-10
"801";2020-03-11
"802";2020-03-12
"803";2020-03-13
"804";2020-03-14
"805";2020-03-15
"806";2020-03-16
"807";2020-03-17
"808";2020-03-18
"809";2020-03-19
"810";2020-03-20
"811";2020-03-21
"812";2020-03-22
"813";2020-03-23
"814";2020-03-24
"815";2020-03-25
"816";2020-03-26
"817";2020-03-27
"818";2020-03-28
"819";2020-03-29
"820";2020-03-30
"821";2020-03-31
"822";2020-04-01
"823";2020-04-02
"824";2020-04-03
"825";2020-04-04
"826";2020-04-05
"827";2020-04-06
"828";2020-04-07
"829";2020-04-08
"830";2020-04-09
"831";2020-04-10
"832";2020-04-11
"833";2020-04-12
"834";2020-04-13
"835";2020-04-14
"836";2020-04-15
"837";2020-04-16
"838";2020-04-17
"839";2020-04-18
"840";2020-04-19
"841";2020-04-20
"842";2020-04-21
"843";2020-04-22
"844";2020-04-23
"845";2020-04-24
"846";2020-04-25
"847";2020-04-26
"848";2020-04-27
"849";2020-04-28
"850";2020-04-29
"851";2020-04-30
"852";2020-05-01
"853";2020-05-02
"854";2020-05-03
"855";2020-05-04
"856";2020-05-05
"857";2020-05-06
"858";2020-05-07
"859";2020-05-08
"860";2020-05-09
"861";2020-05-10
"862";2020-05-11
"863";2020-05-12
"864";2020-05-13
"865";2020-05-14
"866";2020-05-15
"867";2020-05-16
"868";2020-05-17
"869";2020-05-18
"870";2020-05-19
"871";2020-05-20
"872";2020-05-21
"873";2020-05-22
"874";2020-05-23
"875";2020-05-24
"876";2020-05-25
"877";2020-05-26
"878";2020-05-27
"879";2020-05-28
"880";2020-05-29
"881";2020-05-30
"882";2020-05-31
"883";2020-06-01
"884";2020-06-02
"885";2020-06-03
"886";2020-06-04
"887";2020-06-05
"888";2020-06-06
"889";2020-06-07
"890";2020-06-08
"891";2020-06-09
"892";2020-06-10
"893";2020-06-11
"894";2020-06-12
"895";2020-06-13
"896";2020-06-14
"897";2020-06-15
"898";2020-06-16
"899";2020-06-17
"900";2020-06-18
"901";2020-06-19
"902";2020-06-20
"903";2020-06-21
"904";2020-06-22
"905";2020-06-23
"906";2020-06-24
"907";2020-06-25
"908";2020-06-26
"909";2020-06-27
"910";2020-06-28
"911";2020-06-29
"912";2020-06-30
"913";2020-07-01
"914";2020-07-02
